;Winner;Turns;Win_rate
348;AI;19;0.498567335243553
349;Random;37;0.49714285714285716
350;AI;37;0.4985754985754986
351;AI;12;0.5
352;AI;65;0.5014164305949008
353;AI;114;0.5028248587570622
354;AI;33;0.504225352112676
355;Random;33;0.5028089887640449
356;AI;23;0.5042016806722689
357;Random;41;0.5027932960893855
358;Random;30;0.5013927576601671
359;Random;31;0.5
360;AI;23;0.5013850415512465
361;Random;39;0.5
362;AI;21;0.5013774104683195
363;AI;32;0.5027472527472527
364;AI;31;0.5041095890410959
365;AI;14;0.505464480874317
366;Random;110;0.5040871934604905
367;Random;65;0.5027173913043478
368;Random;34;0.5013550135501355
369;Random;39;0.5
370;Random;66;0.49865229110512127
371;AI;26;0.5
372;AI;37;0.5013404825737265
373;Random;15;0.5
374;Random;92;0.49866666666666665
375;Random;15;0.4973404255319149
376;Random;26;0.4960212201591512
377;Random;71;0.4947089947089947
378;Random;50;0.49340369393139843
379;AI;14;0.49473684210526314
380;AI;15;0.49606299212598426
381;AI;40;0.4973821989528796
382;AI;19;0.49869451697127937
383;Random;19;0.4973958333333333
384;AI;21;0.4987012987012987
385;AI;50;0.5
386;AI;11;0.5012919896640827
387;AI;46;0.5025773195876289
388;Random;62;0.5012853470437018
389;Random;45;0.5
390;AI;35;0.5012787723785166
391;AI;66;0.5025510204081632
392;AI;57;0.5038167938931297
393;AI;14;0.5050761421319797
394;AI;33;0.5063291139240507
395;AI;56;0.5075757575757576
396;AI;23;0.5088161209068011
397;AI;44;0.5100502512562815
398;AI;19;0.5112781954887218
399;AI;20;0.5125
400;AI;19;0.513715710723192
401;Random;29;0.5124378109452736
402;AI;13;0.5136476426799007
403;AI;20;0.5148514851485149
404;AI;91;0.5160493827160494
405;AI;18;0.5172413793103449
406;Random;56;0.515970515970516
407;AI;32;0.5171568627450981
408;Random;14;0.5158924205378973
409;Random;19;0.5146341463414634
410;Random;54;0.51338199513382
411;AI;20;0.5145631067961165
412;Random;14;0.513317191283293
413;Random;137;0.5120772946859904
414;Random;24;0.5108433734939759
415;AI;44;0.5120192307692307
416;Random;24;0.5107913669064749
417;AI;22;0.5119617224880383
418;Random;64;0.5107398568019093
419;AI;14;0.5119047619047619
420;Random;12;0.5106888361045131
421;AI;58;0.5118483412322274
422;Random;32;0.5106382978723404
423;AI;30;0.5117924528301887
424;Random;52;0.5105882352941177
425;AI;36;0.5117370892018779
426;AI;49;0.5128805620608899
427;Random;45;0.5116822429906542
428;AI;19;0.5128205128205128
429;AI;22;0.513953488372093
430;AI;15;0.5150812064965197
431;AI;48;0.5162037037037037
432;AI;21;0.5173210161662818
433;Random;101;0.5161290322580645
434;Random;70;0.5149425287356322
435;Random;45;0.5137614678899083
436;AI;35;0.5148741418764302
437;Random;17;0.5136986301369864
438;Random;94;0.5125284738041003
439;AI;12;0.5136363636363637
440;AI;41;0.5147392290249433
441;AI;18;0.5158371040723982
442;Random;18;0.5146726862302483
443;Random;19;0.5135135135135135
444;AI;39;0.5146067415730337
445;AI;44;0.515695067264574
446;AI;59;0.5167785234899329
447;Random;27;0.515625
448;Random;56;0.5144766146993318
449;AI;96;0.5155555555555555
450;AI;23;0.516629711751663
451;Random;147;0.5154867256637168
452;Random;16;0.5143487858719646
453;Random;67;0.513215859030837
454;Random;44;0.512087912087912
455;Random;69;0.5109649122807017
456;Random;32;0.5098468271334792
457;AI;48;0.5109170305676856
458;Random;38;0.5098039215686274
459;AI;38;0.5108695652173914
460;AI;31;0.5119305856832972
461;Random;63;0.5108225108225108
462;AI;19;0.5118790496760259
463;AI;48;0.5129310344827587
464;AI;61;0.513978494623656
465;AI;60;0.5150214592274678
466;Random;30;0.5139186295503212
467;AI;48;0.5149572649572649
468;Random;30;0.5138592750533049
469;Random;65;0.5127659574468085
470;AI;23;0.5138004246284501
471;AI;104;0.5148305084745762
472;AI;77;0.5158562367864693
473;Random;9;0.5147679324894515
474;Random;30;0.5136842105263157
475;AI;10;0.5147058823529411
476;AI;17;0.5157232704402516
477;AI;128;0.5167364016736402
478;Random;26;0.5156576200417536
479;AI;22;0.5166666666666667
480;Random;28;0.5155925155925156
481;AI;14;0.516597510373444
482;Random;14;0.515527950310559
483;AI;36;0.5165289256198347
484;Random;26;0.5154639175257731
485;AI;20;0.5164609053497943
486;AI;9;0.5174537987679672
487;AI;18;0.5184426229508197
488;AI;43;0.5194274028629857
489;Random;41;0.5183673469387755
490;Random;54;0.5173116089613035
491;AI;76;0.5182926829268293
492;AI;13;0.5192697768762677
493;Random;65;0.5182186234817814
494;AI;19;0.5191919191919192
495;Random;21;0.5181451612903226
496;Random;34;0.5171026156941649
497;Random;47;0.5160642570281124
498;AI;79;0.5170340681362725
499;AI;42;0.518
500;Random;36;0.5169660678642715
501;Random;53;0.5159362549800797
502;Random;16;0.5149105367793241
