;0
1006;1989
1007;1990
1008;1990
1009;1992
1010;1993
1011;1995
1012;2003
1013;2008
1014;2011
1015;2012
1016;2013
1017;2020
1018;2025
1019;2027
1020;2029
1021;2030
1022;2031
1023;2032
1024;2038
1025;2040
1026;2043
1027;2044
1028;2046
1029;2048
1030;2050
1031;2052
1032;2053
1033;2054
1034;2056
1035;2057
1036;2058
1037;2062
1038;2063
1039;2064
1040;2067
1041;2069
1042;2072
1043;2073
1044;2075
1045;2079
1046;2086
1047;2087
1048;2088
1049;2090
1050;2091
1051;2092
1052;2099
1053;2102
1054;2103
1055;2105
1056;2109
1057;2114
1058;2115
1059;2118
1060;2121
1061;2123
1062;2132
1063;2134
1064;2136
1065;2137
1066;2147
1067;2148
1068;2151
1069;2156
1070;2157
1071;2158
1072;2160
1073;2163
1074;2164
1075;2166
1076;2167
1077;2168
1078;2170
1079;2175
1080;2175
1081;2176
1082;2177
1083;2179
1084;2181
1085;2181
1086;2183
1087;2185
1088;2187
1089;2189
1090;2193
1091;2195
1092;2197
1093;2198
1094;2199
1095;2201
1096;2202
1097;2205
1098;2206
1099;2210
1100;2213
1101;2216
1102;2220
1103;2223
1104;2224
1105;2226
1106;2230
1107;2231
1108;2232
1109;2233
1110;2238
1111;2241
1112;2248
1113;2251
1114;2252
1115;2253
1116;2254
1117;2255
1118;2256
1119;2261
1120;2267
1121;2269
1122;2273
1123;2277
1124;2280
1125;2281
1126;2282
1127;2285
1128;2289
1129;2291
1130;2292
1131;2297
1132;2299
1133;2301
1134;2307
1135;2309
1136;2310
1137;2316
1138;2320
1139;2323
1140;2327
1141;2328
1142;2330
1143;2332
1144;2335
1145;2336
1146;2339
1147;2344
1148;2345
1149;2346
1150;2348
1151;2350
1152;2352
1153;2353
1154;2355
1155;2356
1156;2359
1157;2360
1158;2362
1159;2365
1160;2367
1161;2370
1162;2371
1163;2372
1164;2379
1165;2383
1166;2385
1167;2386
1168;2389
1169;2390
1170;2391
1171;2393
1172;2399
1173;2401
1174;2404
1175;2406
1176;2411
1177;2414
1178;2416
1179;2417
1180;2419
1181;2422
1182;2425
1183;2427
1184;2428
1185;2433
1186;2435
1187;2443
1188;2444
1189;2445
1190;2446
1191;2448
1192;2449
1193;2452
1194;2455
1195;2459
1196;2462
1197;2464
1198;2467
1199;2468
1200;2469
1201;2471
1202;2473
1203;2478
1204;2482
1205;2483
1206;2484
1207;2484
1208;2486
1209;2487
1210;2488
1211;2491
1212;2491
1213;2492
1214;2496
1215;2497
1216;2497
1217;2498
1218;2499
1219;2500
1220;2504
1221;2507
1222;2508
1223;2510
1224;2513
1225;2515
1226;2517
1227;2520
1228;2522
1229;2525
1230;2529
1231;2531
1232;2532
1233;2533
1234;2538
1235;2539
1236;2541
1237;2549
1238;2552
1239;2555
1240;2556
1241;2556
1242;2560
1243;2564
1244;2566
1245;2567
1246;2574
1247;2575
