;Winner;Turns;Win_rate
489;Random;29;0.49387755102040815
490;Random;108;0.49287169042769857
491;AI;56;0.49390243902439024
492;Random;28;0.49290060851926976
493;Random;13;0.49190283400809715
494;AI;27;0.49292929292929294
495;Random;13;0.49193548387096775
496;Random;30;0.4909456740442656
497;AI;28;0.4919678714859438
498;AI;159;0.49298597194388777
499;AI;16;0.494
500;AI;57;0.49500998003992014
501;AI;62;0.4960159362549801
502;Random;74;0.49502982107355864
503;AI;14;0.49603174603174605
504;AI;13;0.497029702970297
505;Random;13;0.49604743083003955
506;AI;29;0.4970414201183432
507;AI;46;0.49803149606299213
508;Random;20;0.49705304518664045
509;AI;46;0.4980392156862745
510;AI;63;0.49902152641878667
511;AI;48;0.5
512;AI;17;0.5009746588693957
513;Random;37;0.5
514;Random;44;0.49902912621359224
515;AI;32;0.5
516;Random;82;0.4990328820116054
517;Random;97;0.4980694980694981
518;Random;52;0.49710982658959535
519;Random;41;0.49615384615384617
520;Random;74;0.4952015355086372
521;AI;24;0.49616858237547895
522;AI;21;0.497131931166348
523;AI;38;0.49809160305343514
524;Random;32;0.49714285714285716
525;Random;31;0.49619771863117873
526;Random;28;0.4952561669829222
527;Random;17;0.4943181818181818
528;AI;25;0.4952741020793951
529;Random;19;0.49433962264150944
530;AI;13;0.4952919020715631
531;AI;22;0.49624060150375937
532;AI;19;0.4971857410881801
533;Random;25;0.49625468164794007
534;Random;32;0.4953271028037383
535;Random;19;0.4944029850746269
536;Random;32;0.4934823091247672
537;AI;78;0.4944237918215613
538;AI;15;0.49536178107606677
539;Random;33;0.49444444444444446
540;AI;71;0.4953789279112754
541;AI;44;0.496309963099631
542;AI;47;0.4972375690607735
543;AI;20;0.49816176470588236
544;AI;35;0.4990825688073395
545;AI;48;0.5
546;Random;20;0.4990859232175503
547;AI;12;0.5
548;AI;49;0.5009107468123861
549;AI;14;0.5018181818181818
550;AI;43;0.5027223230490018
551;Random;13;0.5018115942028986
552;Random;14;0.5009041591320073
553;AI;36;0.5018050541516246
554;AI;25;0.5027027027027027
555;AI;32;0.5035971223021583
556;AI;59;0.5044883303411131
557;AI;34;0.5053763440860215
558;AI;17;0.5062611806797853
559;AI;26;0.5071428571428571
560;Random;28;0.5062388591800356
561;AI;30;0.5071174377224199
